						 	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Minimization period = 1: 	244	257	339	352	359	362	377	396	420	437	448	459	456	467	475	483	
Minimization period = 2: 	242	256	266	345	358	362	376	392	418	433	444	458	455	461	472	478	
Minimization period = 3: 	240	253	263	273	351	362	375	389	412	430	440	454	454	459	464	475	
Minimization period = 4: 	237	251	260	268	281	356	375	388	407	423	436	450	450	457	461	468	
Minimization period = 5: 	232	248	258	264	275	287	369	387	406	417	429	446	445	453	459	465	
Minimization period = 6: 	230	243	255	262	271	282	298	380	404	416	423	438	440	448	455	462	
Minimization period = 7: 	224	240	248	258	268	278	293	310	397	412	422	432	432	443	449	457	
Minimization period = 8: 	218	233	245	251	264	274	289	303	329	405	418	430	427	435	444	451	
Minimization period = 9: 	213	224	237	248	257	269	284	297	321	399	410	425	425	430	436	446	
Minimization period = 10: 	198	220	228	238	253	262	279	291	314	340	404	417	420	429	431	437	
Minimization period = 11: 	193	203	223	229	243	258	272	286	306	332	350	411	410	423	430	432	
Minimization period = 12: 	188	197	203	224	232	248	268	277	301	323	341	361	404	413	424	431	
--- 5557.633880376816 seconds ---
