Period								Year
		00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
1: 		309	331	345	359	363	370	385	402	427	442	451	462	466	476	478	483	495
2: 		300	328	341	351	363	368	383	397	422	438	446	461	465	470	475	478	491
3: 		296	315	337	347	355	368	381	393	415	433	442	457	464	468	467	475	485
4: 		290	310	322	340	351	360	381	392	410	426	438	453	460	466	464	468	482
5: 		282	300	316	324	344	355	373	391	409	420	431	449	455	462	462	465	474
6: 		280	292	307	318	328	347	368	384	407	419	425	441	450	457	458	462	472
7: 		273	288	298	309	321	332	360	378	399	415	424	435	442	452	452	457	468
8: 		266	279	294	299	313	324	345	369	393	408	420	433	436	444	447	451	463
9: 		259	269	283	295	303	315	336	352	384	401	412	428	434	438	439	446	457
10: 	239	262	273	282	298	305	327	344	366	392	406	420	429	437	434	437	450
11: 	233	239	264	272	285	300	317	334	355	374	395	414	419	431	433	432	441
12: 	188	232	236	263	273	287	312	322	346	362	378	402	413	421	427	431	436
